"HGE Cosmic Schools","Kids $250k+",Address,"Metro Area","Prime Locations",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
Reston,5062,"11579 Cedar Chase Rd, Great Falls, VA 20170 US","DC - Washington DC",2,38.997915,-77.344204,1,rooftop,11579,"Cedar Chase Rd",,,Herndon,VA,"Fairfax County",20170,US,Fairfax
Richardson,1477,"1140 W Campbell Rd, Richardson, TX 75080,","TX - Dallas",,32.978715,-96.760355,1,rooftop,1140,"W Campbell Rd",,,Richardson,TX,"Dallas County",75080,US,Dallas
"Round Rock",2522,"7210 Wyoming Springs Dr, Round Rock, TX 78681 US","TX - Austin",,30.513868,-97.716042,1,rooftop,7210,"Wyoming Springs Dr",,,"Round Rock",TX,"Williamson County",78681,US,"City of Round Rock"
"San Rafael",1360,"11 Professional Center Pkwy, San Rafael, CA 94903","CA - Bay Area",,38.010216,-122.540215,1,rooftop,11,"Professional Center Pkwy",,,"San Rafael",CA,"Marin County",94903,US,"Marin (Marin County)"
"Shady Lakes",2092,"18110 Grassy Branch Rd. Westfield, IN 46074","IN - Indianapolis",,40.050875,-86.108506,1,rooftop,18110,"Grassy Branch Rd",,,Westfield,IN,"Hamilton County",46074,US,Hamilton
Somerset,1727,"121 Pierce St, Somerset, NJ 08873 US",N/A,,40.527892,-74.518938,1,rooftop,121,"Pierce St",,,Somerset,NJ,"Somerset County",08873,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"South Beaverton",1978,"12650 SW Brockman Rd, Beaverton, OR 97008 US","OR - Portland",,45.454637,-122.806414,1,range_interpolation,12650,"SW Brockman Rd",,,Beaverton,OR,"Washington County",97008,US,"TIGER/Line® dataset from the US Census Bureau"
"South Naperville",5588,"5051 Ace Ln, Naperville, IL 60564 US","IL - Chicago",2,41.678326,-88.206177,1,rooftop,5051,"Ace Ln",,,Naperville,IL,"Will County",60564,US,"City of Naperville"
"South Riding",6894,"43181 Amberwood Plaza, Chantilly VA 20152 US","DC - Washington DC",2,38.923035,-77.509402,1,rooftop,43181,"Amberwood Plz",,,Chantilly,VA,"Loudoun County",20152,US,Loudoun
"Spruce Tree",2249,"12600 Spruce Tree Way, Raleigh, NC 27614 US","NC - Raleigh",2,35.939694,-78.561219,1,rooftop,12600,"Spruce Tree Way",,,Raleigh,NC,"Wake County",27614,US,Wake
"The Woodlands",965,"2280 Buckthorne Pl, Spring, TX 77380","TX - Houston",,30.140519,-95.470381,1,rooftop,2280,"Buckthorne Pl",,,Spring,TX,"Montgomery County",77380,US,"City of Houston"
"Timber Ridge",4573,"2550 Timber Ridge Dr, Frisco, TX 75034 US","TX - Dallas",,33.129918,-96.868219,1,rooftop,2550,"Timber Ridge Dr",,,Frisco,TX,"Denton County",75034,US,Denton
Verona,1318,"240 Enterprise Drive, Verona, WI 53593","WI - Madison",,42.995541,-89.527716,1,rooftop,240,"Enterprise Dr",,,Verona,WI,"Dane County",53593,US,Dane
"Walled Lake",1809,"2855 Haggerty Rd., Commerce Twp., MI 48390","MI - Detroit",1,42.564365,-83.440442,1,rooftop,2855,"Haggerty Rd",,,"Commerce Township",MI,"Oakland County",48390,US,"Oakland (Oakland County You may retrieve, download, copy, modify, translate, adapt, distribute, sort, search, and reuse Open Data for any lawful purpose.)"
"West Alex",3031,"3475 N Beauregard St, Alexandria, VA 22311 US","DC - Washington DC",2,38.841314,-77.107996,0.99,rooftop,3475,"N Beauregard St",,,Alexandria,VA,"Alexandria City",22302,US,"City of Alexandria"
"West Loop",2369,"1000 W Washington Blvd, Chicago, IL 60607","IL - Chicago",2,41.883345,-87.652666,1,rooftop,1000,"W Washington Blvd",,,Chicago,IL,"Cook County",60607,US,"City of Chicago"
Westlake,2301,"4613-B, Bee Cave Rd, West Lake Hills, TX 78746 US","TX - Austin",,30.287314,-97.815637,1,rooftop,4613,"Bee Cave Rd",,,Austin,TX,"Travis County",78746,US,"City of Austin (Public Domain)"
"Wicker Park",2419,"1530 N Damen Ave., Chicago, IL 60622 US","IL - Chicago",2,41.909222,-87.677777,1,rooftop,1530,"N Damen Ave",,,Chicago,IL,"Cook County",60622,US,"City of Chicago"
Williamsburg,8172,"717 Driggs Ave, Brooklyn, NY 11211 US","NY - NYC",2,40.713223,-73.960055,1,range_interpolation,717,"Driggs Ave",,,Brooklyn,NY,"Kings County",11211,US,"TIGER/Line® dataset from the US Census Bureau"
Wilton,3751,"221 Danbury Rd, Wilton, CT 06897","CT - Stamford",,41.187222,-73.424728,1,rooftop,221,"Danbury Rd",,,Wilton,CT,"Western Connecticut Planning Region",06897,US,Wilton
Worthington,2796,"125 Dillmont Dr., Columbus, OH 43235","OH - Columbus",,40.133888,-83.0113,1,rooftop,125,"Dillmont Dr",,,Columbus,OH,"Franklin County",43235,US,"City of Columbus"
